Wall time,Step,Value
1524669469.5163963,7201,2.177720308303833
1524669491.7428102,7216,2.219477891921997
1524669515.0753412,7231,2.194835662841797
1524669537.3166459,7246,2.237092971801758
1524669560.371869,7261,2.1036980152130127
1524669582.4515967,7276,2.1730268001556396
1524669605.3487208,7291,2.1974880695343018
1524669618.9394064,7297,2.0555880069732666
1524669642.1571164,7312,2.225442409515381
1524669664.6164188,7327,2.136369466781616
1524669687.7138844,7342,2.2604246139526367
1524669709.8004327,7357,2.103186845779419
1524669732.9171426,7372,2.131730079650879
1524669755.1319828,7387,2.1985228061676025
1524669770.1610525,7393,2.1434903144836426
1524669792.331654,7408,2.177168369293213
1524669814.7785347,7423,2.1257247924804688
1524669837.1666205,7438,2.189368963241577
1524669859.979662,7453,2.2501354217529297
1524669882.6171825,7468,2.169769287109375
1524669905.5890644,7483,2.2052643299102783
1524669919.2880754,7489,2.174492359161377
1524669942.034859,7504,2.122969388961792
1524669964.4119902,7519,2.1148650646209717
1524669987.182684,7534,2.2984137535095215
1524670009.3475769,7549,2.102372646331787
1524670032.324764,7564,2.138068914413452
1524670054.4768426,7579,2.107983350753784
1524670068.4216177,7585,2.143144369125366
1524670090.7741613,7600,2.2104783058166504
1524670114.1380017,7615,2.103048324584961
1524670136.4965854,7630,2.085590124130249
1524670159.7659986,7645,2.2024178504943848
1524670181.9849982,7660,2.220457077026367
1524670204.942706,7675,2.2217888832092285
1524670218.6119776,7681,2.133199453353882
1524670241.6342506,7696,2.0509390830993652
1524670264.198096,7711,2.1172003746032715
1524670287.3065262,7726,2.1025633811950684
1524670309.656557,7741,2.129652738571167
1524670332.8909538,7756,2.0779569149017334
1524670355.1682668,7771,2.211871862411499
1524670369.7193086,7777,2.1851630210876465
1524670392.9489312,7792,2.1365394592285156
1524670415.2609777,7807,2.124035120010376
1524670438.4313939,7822,2.2275311946868896
1524670460.74627,7837,2.2124180793762207
1524670484.1076,7852,2.2624223232269287
1524670506.7193499,7867,2.111499547958374
1524670521.0159807,7873,2.0922486782073975
1524670543.3682332,7888,2.0337886810302734
1524670566.6486804,7903,2.1401219367980957
1524670589.1500845,7918,2.024076223373413
1524670612.2602668,7933,2.246415376663208
1524670634.9485264,7948,2.184812307357788
1524670658.053149,7963,2.1004645824432373
1524670671.8345094,7969,2.085449457168579
1524670694.8246272,7984,1.9839929342269897
1524670717.0037203,7999,2.1576075553894043
1524670739.7363446,8014,2.1702401638031006
1524670761.9011767,8029,2.1168196201324463
1524670784.69392,8044,2.1911354064941406
1524670806.8390055,8059,2.1327450275421143
1524670821.191131,8065,2.1253318786621094
1524670843.581566,8080,2.11137318611145
1524670866.9552588,8095,2.146700143814087
1524670889.0627394,8110,2.0760254859924316
1524670911.1068475,8125,2.1958975791931152
1524670933.604551,8140,2.089702844619751
1524670955.8722844,8155,2.0511600971221924
1524670970.1324236,8161,2.1405367851257324
1524670992.327698,8176,2.1654093265533447
1524671015.1922688,8191,2.1336519718170166
1524671037.5657296,8206,2.2530038356781006
1524671060.6435022,8221,2.233720302581787
1524671082.6924767,8236,2.1327033042907715
1524671105.8004885,8251,2.1160571575164795
1524671119.419842,8257,2.0209338665008545
1524671141.68855,8272,2.165846347808838
1524671164.3213205,8287,2.1931443214416504
1524671186.4383452,8302,2.1863348484039307
1524671209.1515455,8317,2.199618101119995
1524671231.5084674,8332,2.103208065032959
1524671254.3827643,8347,2.1452977657318115
1524671268.0128288,8353,2.1417629718780518
1524671290.9552922,8368,2.0983777046203613
1524671314.1368155,8383,2.197314500808716
1524671336.1551592,8398,2.114226818084717
1524671359.2960634,8413,2.182271957397461
1524671381.569387,8428,2.0912091732025146
1524671404.1911185,8443,2.1102676391601562
1524671418.0335355,8449,2.0756890773773193
